date,open,high,low,close,volume,average,barcount
2020-05-01,284.39,286.88,281.52,282.9,961603,283.308,418653
2020-05-04,280.56,283.9,278.69,283.51,662088,281.608,304302
2020-05-05,286.17,289.25,283.61,287.02,668806,287.652,294804
2020-05-06,287.76,288.96,282.7,283.68,631675,286.128,288508
2020-05-07,286.7,289.78,285.18,289.51,615768,288.287,279615
2020-05-08,291.0,293.74,289.86,293.74,595664,291.693,251845
2020-05-11,293.83,294.8,289.33,291.94,639262,292.224,271226
2020-05-12,291.82,294.24,283.1,283.3,790412,290.009,313270
2020-05-13,285.68,287.94,278.96,282.02,1200845,282.435,540185
2020-05-14,281.36,285.8,272.99,285.68,1072149,280.918,507792
2020-05-15,286.34,286.45,281.34,285.7,842838,284.361,360794
2020-05-18,289.1,296.75,287.9,295.46,922439,294.803,390172
2020-05-19,295.43,297.5,291.29,292.69,747760,294.386,326626
2020-05-20,293.38,297.87,292.13,296.83,666416,296.816,278782
2020-05-21,295.66,297.67,293.68,295.37,661567,295.444,320545
2020-05-22,291.45,296.1,291.0,295.6,482699,294.514,219321
2020-05-26,300.51,302.26,298.69,299.39,657923,300.557,291261
2020-05-27,301.86,304.63,296.87,304.54,842998,300.831,371781
2020-05-28,304.8,306.84,302.24,302.86,739647,304.61,329490
2020-05-29,302.28,306.13,299.59,306.1,922319,302.712,427719
2020-06-01,305.0,306.21,302.45,304.19,465568,305.005,202661
2020-06-02,305.53,309.07,304.02,308.89,591679,306.727,257718
2020-06-03,309.25,313.22,308.75,312.65,681658,311.652,282038
2020-06-04,311.5,313.0,309.08,311.2,647659,311.187,289331
2020-06-05,314.69,321.28,312.72,319.15,1046917,319.11,445071
2020-06-08,318.98,323.41,318.66,322.61,616345,321.523,267630
2020-06-09,321.14,323.24,319.33,321.92,616699,320.944,275004
2020-06-10,322.42,322.71,316.54,316.76,771386,320.126,369771
2020-06-11,313.45,319.12,300.01,303.08,1754473,305.135,810273
2020-06-12,304.43,309.08,298.6,303.58,1541351,303.622,774738
2020-06-15,296.36,310.17,295.39,310.15,1088344,303.754,528461
2020-06-16,310.17,316.96,307.67,313.85,1202896,312.796,534341
2020-06-17,314.87,316.0,310.41,310.45,624631,312.675,282280
2020-06-18,311.56,313.29,308.8,312.93,617186,311.155,270710
2020-06-19,312.12,314.49,305.85,306.1,974633,310.026,412277
2020-06-22,308.5,312.56,306.1,312.33,602488,309.585,260605
2020-06-23,313.37,314.57,309.91,311.2,547238,313.114,235704
2020-06-24,310.71,312.5,302.1,303.81,1093502,305.09,495005
2020-06-25,301.53,308.0,300.83,307.37,757179,304.705,343787
2020-06-26,306.48,308.2,299.42,300.15,1009982,301.59,444170
2020-06-29,301.22,305.99,298.93,305.47,631552,302.554,276757
2020-06-30,304.0,310.2,303.2,308.28,866697,307.483,346927
2020-07-01,308.74,311.89,306.42,310.33,602649,310.503,267758
2020-07-02,312.0,315.7,309.77,312.8,585116,313.492,260154
2020-07-06,316.61,317.91,315.56,317.73,467013,316.498,203299
2020-07-07,315.6,317.52,313.37,314.17,647157,315.358,271236
2020-07-08,314.61,317.05,312.7,316.85,466223,314.914,204958
2020-07-09,316.18,317.2,310.68,315.16,689428,313.794,300458
2020-07-10,312.64,318.18,311.39,318.1,488954,315.83,207478
2020-07-13,318.93,322.71,314.13,315.6,793839,318.766,344320
2020-07-14,314.91,321.85,312.0,321.04,788575,316.208,382947
2020-07-15,320.68,323.39,319.26,321.85,713465,321.568,326183
2020-07-16,320.12,321.28,318.92,320.41,467591,320.088,228772
2020-07-17,319.66,322.57,319.6,321.9,432710,321.511,209109
2020-07-20,319.92,325.13,319.62,324.4,432673,323.202,192820
2020-07-21,326.0,327.33,323.94,325.69,454913,325.774,218291
2020-07-22,324.5,327.2,322.79,326.11,440731,325.891,204065
2020-07-23,328.15,328.51,321.48,323.45,614309,324.128,295885
2020-07-24,320.67,322.52,319.24,320.2,531260,320.723,273120
2020-07-27,321.52,323.86,320.77,323.7,347397,322.52,165779
2020-07-28,323.4,323.7,320.85,321.8,394243,322.324,187032
2020-07-29,321.93,325.73,320.7,325.14,372446,324.255,173747
2020-07-30,323.0,327.43,319.64,326.84,503599,322.66,255677
2020-07-31,325.69,327.06,321.33,326.44,639949,324.252,300569
2020-08-03,326.46,329.62,325.72,328.83,386524,328.835,177383
2020-08-04,328.11,330.1,327.15,330.0,334657,329.076,156626
2020-08-05,331.85,332.39,330.0,332.0,311936,331.885,150229
2020-08-06,332.25,334.55,330.13,334.16,365652,332.969,175501
2020-08-07,334.02,334.88,332.3,334.53,467417,333.749,222415
2020-08-10,335.06,336.82,332.95,335.27,337898,334.988,169352
2020-08-11,336.91,337.93,332.01,333.37,545771,335.193,251909
2020-08-12,335.4,338.28,333.0,337.11,419062,337.198,197753
2020-08-13,336.98,338.26,335.83,337.62,331754,337.172,165128
2020-08-14,336.19,337.89,335.05,336.6,310316,336.571,153647
2020-08-17,337.44,338.79,336.64,338.63,261981,337.921,117129
2020-08-18,338.0,339.1,336.61,338.92,294956,338.381,127647
2020-08-19,339.13,339.61,336.21,336.27,489606,338.205,207671
2020-08-20,336.54,339.0,335.03,338.97,357515,337.484,161398
2020-08-21,338.35,339.72,335.75,339.65,365380,338.792,163108
2020-08-24,341.2,343.43,340.59,343.39,356247,342.08,156849
2020-08-25,344.57,344.74,342.27,344.55,324100,343.426,141995
2020-08-26,344.4,348.36,344.05,347.77,399366,346.491,182436
2020-08-27,347.56,349.9,346.53,349.26,484545,348.567,225565
2020-08-28,349.26,351.07,348.15,350.98,368511,349.659,167616
